# Yale Bright Star Catalogue 5 - converted by bsc5_converter.py
# RA_deg, Dec_deg, Vmag, BV
1.291250,45.229167,6.700,0.070
1.265833,-0.503056,6.290,1.100
1.333750,-5.707500,4.610,1.040
1.425000,13.396111,5.510,0.900
1.566667,58.436667,5.960,0.670
1.579167,-49.075000,5.700,0.520
1.610417,64.196111,5.590,-0.030
1.653333,29.021389,6.130,0.750
1.708750,-23.107500,6.180,0.380
1.825833,-17.386389,6.190,0.140
1.933750,-2.548889,6.430,-0.140
1.945000,-22.508889,5.940,0.140
2.014583,-33.529444,5.680,1.120
2.050417,-2.447778,6.070,1.380
2.097083,29.090556,2.060,-0.110
2.072500,-8.823889,5.990,1.040
2.170833,36.626667,6.190,0.480
2.139167,-17.577500,6.060,1.670
2.217500,25.462778,6.230,0.970
2.334167,79.714722,6.010,0.190
2.294583,59.149722,2.270,0.340
2.260000,18.211944,5.530,1.040
2.260000,-54.001944,6.330,0.740
2.337500,-27.987778,5.420,0.420
2.352917,-45.747500,3.880,1.030
2.509583,11.145556,5.510,-0.070
2.580417,46.072222,5.030,0.400
2.623750,57.165556,6.740,-0.080
2.578333,-5.248611,5.840,0.980
2.508750,-82.223889,5.280,1.050
2.678333,-12.580000,5.850,1.010
2.660833,-73.224444,6.640,0.370
2.816250,-15.468056,4.890,0.490
2.893333,-27.799722,5.410,1.340
2.933333,-35.133056,5.250,0.440
2.996250,48.152500,6.160,1.450
3.041667,-17.938333,5.250,1.480
3.210000,37.693333,6.730,-0.130
3.309167,15.183611,2.830,-0.230
3.350000,26.987222,6.300,0.650
3.378333,41.035278,5.720,0.310
3.425417,-26.021944,5.940,1.550
3.434167,-26.284722,6.310,1.480
3.509583,33.206111,6.250,-0.010
3.650833,20.206667,4.800,1.570
3.615000,-7.780556,5.120,1.620
3.330833,-84.994167,5.770,1.720
3.660000,-18.932778,4.440,1.660
3.733750,22.284167,6.240,-0.010
3.745000,8.820833,5.790,0.310
3.727083,-9.569722,5.750,-0.080
3.779167,31.535833,6.450,0.000
3.794167,27.283056,6.350,-0.020
3.742500,-34.904444,6.170,1.340
4.058333,76.950833,6.350,-0.070
4.090000,43.594722,6.150,0.050
4.037083,-31.446389,5.670,1.350
3.980000,-75.911389,6.490,1.000
4.142083,8.240000,6.110,0.920
4.237917,61.533333,5.740,0.880
4.177083,-20.210556,6.470,-0.090
4.287917,47.947500,5.890,-0.090
4.272917,38.681667,4.610,0.060
4.204167,-78.780556,6.770,0.460
4.429167,51.433056,6.140,-0.130
4.385833,-19.051111,6.450,0.370
4.448750,1.688889,6.170,0.940
4.582083,36.785278,4.520,0.050
4.571667,11.205833,6.050,1.030
4.675417,43.791111,6.110,-0.080
4.659583,31.517222,5.870,-0.010
4.674167,-8.052778,6.460,0.680
4.677500,-43.235278,6.330,1.210
4.857083,-8.823889,3.560,1.220
4.923333,40.729722,6.330,1.180
5.021667,48.865278,6.520,0.000
5.017917,-64.874722,4.230,0.580
5.101667,30.935833,5.900,-0.100
5.189583,32.911389,5.790,1.590
5.149583,8.190278,5.370,1.340
5.227083,10.976944,6.560,0.000
5.280417,37.968611,5.180,0.420
5.162500,-69.625000,5.510,-0.050
5.380000,-28.981667,5.180,1.000
5.442917,-20.057778,5.120,1.820
5.606250,13.482500,6.230,1.220
5.369167,-77.426944,5.970,1.400
5.715833,-12.209444,6.390,0.660
5.802500,-31.036111,6.550,0.000
6.008333,38.577222,7.390,1.970
6.065000,52.020000,5.570,-0.120
6.197917,61.831111,5.400,0.000
6.123750,-2.219167,6.070,1.220
6.276667,53.046944,5.740,-0.060
6.350833,1.939722,5.770,0.860
6.437917,-77.254167,2.800,0.620
6.570833,-42.306111,2.390,1.090
6.550833,-43.680000,3.940,0.170
6.655833,-0.049722,6.190,0.900
6.811250,-25.547222,5.980,1.030
7.012083,17.893056,5.060,1.650
7.057083,44.394444,5.170,0.030
6.982083,-33.007222,4.810,1.640
7.052917,16.445000,6.060,1.580
7.083750,10.189722,6.040,0.430
7.087917,-20.335000,6.430,0.590
7.110000,-39.915000,5.430,1.560
7.235833,36.900000,6.260,0.920
7.179583,-50.532778,6.260,1.090
7.729167,77.019444,6.210,0.840
7.582917,59.977222,5.940,0.010
7.530417,29.751667,5.230,0.240
7.466250,-14.864167,6.140,0.370
7.453750,-32.116667,6.570,1.340
7.510000,-3.957222,5.720,1.560
7.594583,-23.787778,5.190,0.120
7.615833,-40.939444,6.190,0.330
7.608750,-48.215000,5.690,0.350
7.855417,66.519444,6.180,-0.100
7.856667,33.581667,5.870,1.140
7.943333,54.522222,4.730,-0.100
7.921667,52.839444,5.600,1.150
7.854167,-48.803611,4.770,0.020
7.886250,-62.958056,4.370,-0.070
7.890000,-62.965833,4.540,0.150
8.111667,43.494722,6.700,-0.010
8.330417,70.981667,6.420,-0.010
8.250000,62.931667,4.160,0.140
8.147917,20.294444,5.380,1.080
8.099167,6.955556,5.670,0.000
8.143750,27.580556,6.670,0.000
8.204583,28.280278,6.300,1.000
8.293333,54.895000,5.930,1.040
8.182500,-63.031111,5.090,0.040
8.603750,66.750278,6.480,-0.080
8.421250,-29.558333,5.550,1.270
8.347083,-71.266111,6.130,0.230
8.615833,-52.373056,5.570,0.470
8.730417,13.371111,6.400,0.000
8.812083,-3.592778,5.200,0.560
8.886667,-0.505556,5.930,0.440
9.034583,54.168611,5.080,-0.110
8.977917,13.206667,6.410,0.520
9.113750,60.326111,5.790,0.290
8.921250,-48.000833,5.510,0.440
8.889167,-54.821944,6.060,1.010
9.083333,27.254722,6.500,-0.090
9.012500,-14.973611,6.450,1.060
9.028750,-22.842500,6.060,0.290
9.194167,44.488611,5.130,1.600
9.242917,53.896944,3.660,-0.200
9.220417,33.719444,4.360,-0.140
9.197083,15.231667,5.890,-0.150
9.280000,24.014167,6.470,0.000
9.337917,35.399444,5.480,0.880
9.947083,82.493889,6.400,0.550
9.336250,-24.767222,5.570,0.720
9.155833,-65.124722,6.420,1.260
9.377083,3.135278,6.390,1.330
9.325417,-54.394167,6.410,1.000
9.638750,29.311667,4.370,0.870
9.791250,49.354444,5.430,1.640
9.832083,30.860833,3.270,1.280
9.840833,21.250556,5.870,0.850
9.981667,21.438333,5.360,1.160
10.127083,56.537222,2.230,1.170
9.670000,-73.137222,6.850,0.110
9.991250,-33.961667,6.690,0.510
9.966667,-44.796667,6.010,1.140
10.119167,-16.516944,6.490,0.920
10.137083,-23.804444,6.140,0.700
10.176667,-4.351944,5.910,1.100
10.280000,39.458611,5.330,0.890
10.110000,-59.454444,5.890,0.550
10.514167,66.147500,5.830,1.040
10.400000,24.629167,6.040,0.260
10.516250,50.512500,4.800,-0.110
10.331667,-46.085000,4.590,0.970
10.629583,58.753333,6.170,-0.010
10.443333,-56.501667,5.700,0.200
10.867083,47.024722,4.940,0.180
10.678750,-38.463333,6.060,-0.030
10.674167,-60.262500,5.980,1.320
10.618333,-65.468056,5.390,0.500
10.897500,-17.986667,2.040,1.020
11.110000,47.864167,5.670,-0.120
10.959167,-12.011667,6.020,1.100
10.838333,-57.463056,4.360,0.000
11.412500,74.988056,5.660,0.050
11.181250,48.284444,4.540,-0.070
11.047500,-10.609444,4.760,1.010
11.050417,-38.421667,5.900,1.160
11.321667,55.221667,5.420,0.040
11.185000,-22.006111,5.240,0.330
11.237917,-42.676667,5.940,0.280
11.134583,-62.497778,6.070,0.440
11.662500,69.325000,6.330,0.000
11.350417,-4.629167,6.150,1.620
11.250000,-53.715000,6.150,0.530
11.369583,-12.880833,6.150,0.610
11.562917,55.305278,6.520,0.000
11.545417,44.861389,6.050,-0.070
11.423750,-16.424167,6.470,0.310
11.676667,59.574444,6.390,1.090
11.942083,74.847500,5.410,-0.080
11.440000,-47.551667,5.800,0.640
11.549167,-22.521944,5.500,0.980
11.637500,15.475556,5.380,1.650
12.037917,72.675000,5.870,1.010
11.756250,11.973889,5.500,0.970
11.806667,19.578889,6.130,0.270
11.834583,24.267222,4.060,1.120
11.848333,6.740833,5.990,0.940
11.978333,20.925278,6.540,0.500
11.930417,-18.061389,5.700,1.300
12.275000,57.815833,3.440,0.570
12.004583,-21.722500,5.570,-0.060
12.072500,7.300000,5.930,1.100
12.095833,5.280556,5.750,0.880
12.208750,50.968333,4.890,-0.110
12.170833,7.585000,4.430,1.500
12.244583,16.940556,5.070,0.510
12.453333,41.078889,4.530,-0.150
12.356667,-13.561389,5.590,1.300
12.307917,-24.136389,5.900,0.950
12.236250,-46.697778,6.270,0.900
12.470000,27.710833,7.000,0.360
12.471667,27.710278,7.100,0.000
12.389167,-23.361667,6.280,0.130
12.681667,64.247500,5.390,0.490
12.576250,45.002222,6.150,0.010
12.531667,-10.644444,5.190,0.500
12.147500,-74.923333,5.070,1.370
12.818333,61.805833,6.070,1.880
12.739167,51.508056,6.390,0.280
12.515417,-43.394722,6.480,0.290
13.721250,83.707222,5.620,0.090
12.890417,51.571111,6.210,0.000
12.671667,-50.986944,5.220,0.360
12.826250,3.385000,6.370,1.070
13.267083,61.124167,4.820,0.530
12.967083,-43.709167,6.900,0.350
13.222500,38.548611,6.690,0.020
13.169167,-24.005833,5.460,1.240
13.252083,-1.144167,4.770,1.570
13.367500,37.418056,6.060,1.140
13.448333,52.689167,6.270,0.190
13.301667,-24.776944,6.460,0.440
13.101250,-69.504444,6.220,0.560
13.750417,58.972778,4.830,1.210
13.646667,19.188333,5.740,-0.010
13.573333,-8.740833,6.160,0.920
13.771667,48.678611,6.270,1.680
13.407917,-62.871389,5.700,1.560
13.741667,23.628333,5.470,1.000
13.811250,24.556944,6.200,1.620
14.053750,57.996667,6.210,1.370
14.231667,68.776111,6.370,0.380
13.993750,27.209444,6.090,0.140
13.926667,-7.347222,5.850,1.520
14.177083,60.716667,2.470,-0.150
14.165833,59.181111,4.630,0.960
14.196250,60.362778,5.550,-0.070
14.006250,-11.266667,5.310,1.520
13.981250,-27.775556,6.100,1.670
14.188333,38.499444,3.870,0.130
13.751250,-69.526944,5.450,1.090
14.301667,23.417500,4.420,0.940
14.415417,45.839722,6.120,1.020
14.629583,66.352222,5.970,-0.020
14.459167,28.992222,5.420,1.080
14.559167,33.950833,5.980,1.000
14.477083,13.695833,6.320,0.890
14.578750,21.404444,6.370,0.090
15.129167,70.983056,6.390,0.130
14.682917,-11.380000,5.610,0.970
14.651667,-29.357500,4.310,-0.160
14.593333,-60.696389,6.230,0.100
